precinct,date,citation_issued
E,2015-06-24,18
E,2015-06-25,9
E,2015-06-26,6
E,2015-06-27,6
E,2015-06-28,8
E,2015-06-29,5
E,2015-06-30,9
E,2015-07-01,6
E,2015-07-02,12
E,2015-07-03,6
E,2015-07-04,12
E,2015-07-05,13
E,2015-07-06,6
E,2015-07-07,10
E,2015-07-08,7
E,2015-07-09,11
E,2015-07-10,18
E,2015-07-11,14
E,2015-07-12,4
E,2015-07-13,3
E,2015-07-14,16
E,2015-07-15,15
E,2015-07-16,21
E,2015-07-17,15
E,2015-07-18,6
E,2015-07-19,9
E,2015-07-20,3
E,2015-07-21,12
E,2015-07-22,13
E,2015-07-23,12
E,2015-07-24,14
E,2015-07-25,12
E,2015-07-26,3
E,2015-07-27,13
E,2015-07-28,12
E,2015-07-29,9
E,2015-07-30,11
E,2015-07-31,16
E,2015-08-01,7
E,2015-08-02,9
E,2015-08-03,20
E,2015-08-04,12
E,2015-08-05,14
E,2015-08-06,19
E,2015-08-07,24
E,2015-08-08,15
E,2015-08-09,19
E,2015-08-10,11
E,2015-08-11,14
E,2015-08-12,3
E,2015-08-13,3
E,2015-08-14,9
E,2015-08-15,21
E,2015-08-16,26
E,2015-08-17,24
E,2015-08-18,16
E,2015-08-19,12
E,2015-08-20,19
E,2015-08-21,27
E,2015-08-22,14
E,2015-08-23,11
E,2015-08-24,15
E,2015-08-25,14
E,2015-08-26,11
E,2015-08-27,16
E,2015-08-28,18
E,2015-08-29,18
E,2015-08-30,4
E,2015-08-31,7
E,2015-09-01,15
E,2015-09-02,13
E,2015-09-03,21
E,2015-09-04,23
E,2015-09-05,10
E,2015-09-06,10
E,2015-09-07,20
E,2015-09-08,11
E,2015-09-09,7
E,2015-09-10,8
E,2015-09-11,20
E,2015-09-12,7
E,2015-09-13,10
E,2015-09-14,9
E,2015-09-15,15
E,2015-09-16,12
E,2015-09-17,4
E,2015-09-18,11
E,2015-09-19,14
E,2015-09-20,7
E,2015-09-21,7
E,2015-09-22,4
E,2015-09-23,6
E,2015-09-24,5
E,2015-09-25,6
E,2015-09-26,19
E,2015-09-27,8
E,2015-09-28,15
E,2015-09-29,11
E,2015-09-30,11
E,2015-10-01,19
E,2015-10-02,13
E,2015-10-03,16
E,2015-10-04,15
E,2015-10-05,10
E,2015-10-06,10
E,2015-10-07,22
E,2015-10-08,24
E,2015-10-09,9
E,2015-10-10,20
E,2015-10-11,15
E,2015-10-12,5
E,2015-10-13,28
E,2015-10-14,21
E,2015-10-15,17
E,2015-10-16,21
E,2015-10-17,8
E,2015-10-18,6
E,2015-10-19,12
E,2015-10-20,25
E,2015-10-21,15
E,2015-10-22,21
E,2015-10-23,14
E,2015-10-24,6
E,2015-10-25,4
E,2015-10-26,22
E,2015-10-27,18
E,2015-10-28,20
E,2015-10-29,9
E,2015-10-30,16
E,2015-10-31,7
E,2015-11-01,7
E,2015-11-02,4
E,2015-11-03,4
E,2015-11-04,7
E,2015-11-05,11
E,2015-11-06,9
E,2015-11-07,11
E,2015-11-08,5
E,2015-11-09,5
E,2015-11-10,10
E,2015-11-11,7
E,2015-11-12,21
E,2015-11-13,13
E,2015-11-14,7
E,2015-11-15,14
E,2015-11-16,4
E,2015-11-17,22
E,2015-11-18,27
E,2015-11-19,15
E,2015-11-20,14
E,2015-11-21,5
E,2015-11-22,6
E,2015-11-23,11
E,2015-11-24,8
E,2015-11-25,28
E,2015-11-26,4
E,2015-11-27,5
E,2015-11-28,9
E,2015-11-29,9
E,2015-11-30,19
E,2015-12-01,20
E,2015-12-02,23
E,2015-12-03,12
E,2015-12-04,20
E,2015-12-05,12
E,2015-12-06,13
E,2015-12-07,4
E,2015-12-08,9
E,2015-12-09,8
E,2015-12-10,5
E,2015-12-11,5
E,2015-12-12,8
E,2015-12-13,4
E,2015-12-14,11
E,2015-12-15,11
E,2015-12-16,9
E,2015-12-17,5
E,2015-12-18,9
E,2015-12-19,7
E,2015-12-20,7
E,2015-12-21,8
E,2015-12-22,8
E,2015-12-23,12
E,2015-12-24,8
E,2015-12-25,5
E,2015-12-26,13
E,2015-12-27,8
E,2015-12-28,15
E,2015-12-29,9
E,2015-12-30,13
E,2015-12-31,24
N,2013-01-01,16
N,2013-01-02,11
N,2013-01-03,6
N,2013-01-04,8
N,2013-01-05,16
N,2013-01-06,8
N,2013-01-07,6
N,2013-01-08,6
N,2013-01-09,12
N,2013-01-10,3
N,2013-01-11,4
N,2013-01-12,13
N,2013-01-13,13
N,2013-01-14,12
N,2013-01-15,4
N,2013-01-16,4
N,2013-01-17,4
N,2013-01-18,8
N,2013-01-19,9
N,2013-01-20,2
N,2013-01-21,5
N,2013-01-22,4
N,2013-01-23,3
N,2013-01-24,10
N,2013-01-25,13
N,2013-01-26,8
N,2013-01-27,11
N,2013-01-28,2
N,2013-01-29,5
N,2013-01-30,8
N,2013-01-31,6
N,2013-02-01,12
N,2013-02-02,10
N,2013-02-03,11
N,2013-02-04,5
N,2013-02-05,9
N,2013-02-06,8
N,2013-02-07,8
N,2013-02-08,5
N,2013-02-09,10
N,2013-02-10,9
N,2013-02-11,3
N,2013-02-12,1
N,2013-02-13,5
N,2013-02-14,9
N,2013-02-15,6
N,2013-02-16,5
N,2013-02-17,5
N,2013-02-18,4
N,2013-02-19,8
N,2013-02-20,4
N,2013-02-21,4
N,2013-02-22,8
N,2013-02-23,10
N,2013-02-24,6
N,2013-02-25,6
N,2013-02-26,11
N,2013-02-27,9
N,2013-02-28,5
N,2013-03-01,6
N,2013-03-02,10
N,2013-03-03,13
N,2013-03-04,3
N,2013-03-05,9
N,2013-03-06,7
N,2013-03-07,12
N,2013-03-08,8
N,2013-03-09,6
N,2013-03-10,6
N,2013-03-11,4
N,2013-03-12,4
N,2013-03-13,6
N,2013-03-14,6
N,2013-03-15,8
N,2013-03-16,4
N,2013-03-17,5
N,2013-03-18,9
N,2013-03-19,6
N,2013-03-20,9
N,2013-03-21,3
N,2013-03-22,10
N,2013-03-23,9
N,2013-03-24,3
N,2013-03-25,3
N,2013-03-26,6
N,2013-03-27,6
N,2013-03-28,10
N,2013-03-29,4
N,2013-03-30,11
N,2013-03-31,7
N,2013-04-01,3
N,2013-04-02,10
N,2013-04-03,3
N,2013-04-04,11
N,2013-04-05,8
N,2013-04-06,11
N,2013-04-07,4
N,2013-04-08,10
N,2013-04-09,6
N,2013-04-10,6
N,2013-04-11,3
N,2013-04-12,7
N,2013-04-13,7
N,2013-04-14,4
N,2013-04-15,5
N,2013-04-16,3
N,2013-04-17,5
N,2013-04-18,5
N,2013-04-19,4
N,2013-04-20,6
N,2013-04-21,9
N,2013-04-22,4
N,2013-04-23,6
N,2013-04-24,5
N,2013-04-25,5
N,2013-04-26,6
N,2013-04-27,7
N,2013-04-28,7
